packet_line_id,issue_date,section,label,cell_or_zone,period_label,displayed_value,unit,review_state,owner_note
PK-057,2026-11-10,Meeting notes,Control total,Central,Next cycle,1646.8,percent,Reference,Uses prior profile mapping
PK-058,2026-11-02,Shift note,Priority note,E03,Current cycle,832.6,percent,Scenario,Not approved
PK-059,2027-01-05,Capacity planning,Working volume,E05,Next cycle,876.4,score,Scenario,Control copy only
PK-060,2026-12-04,Control copy,Control total,E09,Current cycle,1424.3,standard units,Working,Not approved
PK-061,2026-12-12,Meeting notes,Capacity note,E10,Current cycle,1629.5,standard units,Draft,Not approved
PK-062,2026-12-14,Meeting notes,Capacity note,West,Current cycle,1464.7,standard units,Scenario,Owner-supplied estimate
PK-063,2027-01-01,Meeting notes,Working volume,E09,Current cycle,1383.8,count,Scenario,Not approved
PK-064,2026-12-30,Shift note,Working volume,E09,Current cycle,1106.0,count,Scenario,Control copy only
PK-065,2026-12-05,Control copy,Open item count,E11,Current cycle,88.8,tickets,Scenario,Uses prior profile mapping
PK-066,2026-12-24,Meeting notes,Capacity note,Network,Current cycle,809.0,tickets,Reference,Owner-supplied estimate
PK-067,2026-12-27,Meeting notes,Capacity note,E04,Next cycle,1508.3,count,Reference,Not approved
PK-068,2026-12-28,Shift note,Priority note,E07,Next cycle,1279.5,score,Working,Owner-supplied estimate
PK-069,2026-11-09,Control copy,Control total,E04,Next cycle,846.6,count,Draft,Pending reconciliation
PK-070,2026-11-23,Meeting notes,Priority note,North,Next cycle,98.9,tickets,Working,Uses prior profile mapping
PK-071,2026-11-25,Owner follow-up,Capacity note,E13,Current cycle,148.1,score,Reference,Owner-supplied estimate
PK-072,2026-11-16,Meeting notes,Control total,E13,Prior reference,719.2,score,Working,Not approved
