application_id,project_name,organization_id,track_code,program_round,focus_area,public_district,requested_usd,submitted_at,application_status
A26-1251,Sherwood Public Art Workshop,ORG-0099,neighborhood_arts,spring_2026,green_infrastructure,West Terrace,20500,2026-03-13T09:10:00-08:00,submitted
A26-5072,Kingsley Urban Forestry Fellows,ORG-0396,climate_resilience,spring_2026,green_infrastructure,West Terrace,56500,2026-02-10T16:00:00-08:00,submitted
A26-8260,Willow Creek Main Street Market Lab,ORG-0107,small_business,spring_2026,urban_heat,Harbor Point,40000,2026-03-09T10:40:00-08:00,withdrawn
A26-5106,Union Square Native Plant Corridor,ORG-0112,climate_resilience,spring_2026,home_weatherization,Central Commons,64000,2026-03-08T11:40:00-08:00,submitted
A26-5970,Harbor Point Cool Roof Partnership,ORG-0195,climate_resilience,spring_2026,building_cooling,South Harbor,59500,2026-02-23T08:00:00-08:00,submitted
A26-8377,Laurel Heights Heat Resilience Hubs,ORG-0051,climate_resilience,spring_2026,flood_resilience,Hill Corridor,54000,2026-02-01T09:40:00-08:00,submitted
A26-5001,Kingsley Native Plant Corridor,ORG-0341,climate_resilience,spring_2026,urban_heat,Harbor Point,42500,2026-02-18T16:00:00-08:00,submitted
A26-2026,Prairie View Wellness Navigation Team,ORG-0034,community_health,winter_2025,green_infrastructure,Oak Junction,51000,2026-02-26T14:40:00-08:00,submitted
A26-2278,Pleasant Valley Rain Garden Network,ORG-0012,climate_resilience,spring_2026,building_cooling,Meadow Loop,10000,2026-02-08T12:40:00-08:00,submitted
A26-5171,Stonebridge Rain Garden Network,ORG-0082,climate_resilience,winter_2025,home_weatherization,Lake District,44500,2026-02-13T15:40:00-08:00,submitted
A26-2211,Valley View Canopy Renewal Project,ORG-0033,climate_resilience,spring_2026,home_weatherization,Meadow Loop,49000,2026-03-09T12:30:00-08:00,submitted
A26-5152,Lincoln Heights Green Alley Partnership,ORG-0462,climate_resilience,spring_2026,home_weatherization,East Market,25500,2026-01-21T11:20:00-08:00,submitted
A26-1145,Westhaven Compost Education Network,ORG-0027,climate_resilience,winter_2025,flood_resilience,Meadow Loop,18000,2026-03-12T14:20:00-08:00,submitted
A26-7535,Kingston Main Street Market Lab,ORG-0277,small_business,spring_2026,home_weatherization,South Harbor,46500,2026-03-04T13:30:00-08:00,submitted
A26-9969,Meadow Park Flood Preparedness Team,ORG-0124,climate_resilience,spring_2026,flood_resilience,East Market,27000,2026-02-15T16:20:00-08:00,submitted
A26-9698,Riverside Heat Resilience Hubs,ORG-0022,climate_resilience,spring_2026,home_weatherization,Harbor Point,57500,2026-03-04T16:30:00-08:00,submitted
A26-9486,Pine Ridge Heat Relief Partnership,ORG-0118,climate_resilience,winter_2025,urban_heat,Cedar Basin,31000,2026-02-18T16:50:00-08:00,withdrawn
A26-1889,Parkview Home Energy Team,ORG-0218,climate_resilience,spring_2026,home_weatherization,West Terrace,28000,2026-03-02T08:50:00-08:00,withdrawn
A26-8681,Terrace Park Neighborhood Shade Plan,ORG-0167,climate_resilience,spring_2026,building_cooling,South Harbor,16500,2026-02-28T10:00:00-08:00,submitted
A26-5400,Yorktown Green Alley Project,ORG-0136,climate_resilience,spring_2026,building_cooling,Central Commons,22500,2026-01-15T14:10:00-08:00,submitted
A26-5157,Brookfield Resilient Homes Network,ORG-0466,climate_resilience,spring_2026,flood_resilience,Oak Junction,60500,2026-01-12T15:00:00-08:00,submitted
A26-2482,Grandview Tree Stewardship Network,ORG-0047,climate_resilience,spring_2026,urban_heat,North Ridge,25500,2026-01-15T10:40:00-08:00,withdrawn
A26-5048,Yorktown Heat Relief Collaborative,ORG-0376,climate_resilience,spring_2026,flood_resilience,East Market,19000,2026-03-04T16:30:00-08:00,submitted
A26-0361,Eastwood Home Energy Coaching,ORG-0003,climate_resilience,spring_2026,green_infrastructure,Harbor Point,12500,2026-03-15T14:30:00-08:00,submitted
A26-1289,Northgate Heat Relief Partnership,ORG-0197,climate_resilience,spring_2026,building_cooling,Central Commons,29000,2026-02-20T11:30:00-08:00,submitted
A26-8931,Franklin Neighborhood Shade Plan,ORG-0060,climate_resilience,fall_2025,home_weatherization,Harbor Point,30500,2026-03-14T12:00:00-08:00,submitted
A26-8229,Spring Hill Community Solar Library,ORG-0091,climate_resilience,spring_2026,building_cooling,Lake District,57000,2026-01-24T08:30:00-08:00,pending_correction
A26-5081,Meadow Park Main Street Market Lab,ORG-0229,small_business,spring_2026,green_infrastructure,East Market,18500,2026-02-18T16:50:00-08:00,submitted
A26-5086,Elmwood Flood Readiness Team,ORG-0408,climate_resilience,spring_2026,flood_resilience,Lake District,19000,2026-01-23T10:40:00-08:00,submitted
A26-1873,University Heights Heat Resilience Hubs,ORG-0078,climate_resilience,winter_2025,building_cooling,Hill Corridor,63000,2026-03-15T16:50:00-08:00,submitted
A26-0003,Crescent Hill Stormwater Action Group,ORG-0023,climate_resilience,spring_2026,home_weatherization,North Ridge,23000,2026-02-16T09:30:00-08:00,submitted
A26-0953,Brookfield Native Plant Corridor,ORG-0120,climate_resilience,spring_2026,building_cooling,Meadow Loop,64500,2026-03-14T14:10:00-08:00,submitted
A26-4074,Clearwater Neighborhood Shade Plan,ORG-0108,climate_resilience,spring_2026,flood_resilience,River Ward,26000,2026-01-30T14:30:00-08:00,submitted
A26-3419,Oak Terrace Youth Leadership Academy,ORG-0224,youth_learning,spring_2026,urban_heat,West Terrace,12000,2026-01-21T09:10:00-08:00,submitted
A26-8645,Redwood Resilience Resource Center,ORG-0130,climate_resilience,spring_2026,flood_resilience,Harbor Point,46000,2026-02-19T13:10:00-08:00,submitted
A26-5045,Claremont Resilience Resource Center,ORG-0373,climate_resilience,spring_2026,urban_heat,North Ridge,52500,2026-02-15T12:30:00-08:00,submitted
A26-3426,Stonebridge Local Vendor Support,ORG-0279,small_business,spring_2026,urban_heat,Harbor Point,28500,2026-03-11T14:50:00-08:00,submitted
A26-5062,Stonebridge Stormwater Block Initiative,ORG-0387,climate_resilience,spring_2026,building_cooling,River Ward,30000,2026-02-21T12:10:00-08:00,submitted
A26-4993,Sherwood Emergency Cooling Outreach,ORG-0100,climate_resilience,spring_2026,green_infrastructure,Lake District,50500,2026-03-01T10:20:00-08:00,submitted
A26-5007,Fox Hollow Drainage Action Group,ORG-0034,climate_resilience,fall_2025,urban_heat,North Ridge,28500,2026-02-16T09:40:00-08:00,submitted
A26-1932,Crescent Hill Compost Education Network,ORG-0058,climate_resilience,spring_2026,urban_heat,Meadow Loop,53500,2026-03-02T11:00:00-08:00,draft
A26-6617,Cedar Grove Mental Health First Aid,ORG-0162,community_health,spring_2026,building_cooling,Cedar Basin,42500,2026-02-19T14:20:00-08:00,submitted
A26-6298,Harbor Point Public Art Workshop,ORG-0218,neighborhood_arts,spring_2026,green_infrastructure,North Ridge,15500,2026-02-15T10:50:00-08:00,pending_correction
A26-5173,Fox Hollow Creek Buffer Project,ORG-0475,urban_mobility,spring_2026,urban_heat,Cedar Basin,36000,2026-01-18T11:40:00-08:00,submitted
A26-8029,Crescent Hill Energy Savings Workshop Series,ORG-0031,climate_resilience,winter_2025,green_infrastructure,South Harbor,22500,2026-03-01T13:10:00-08:00,submitted
A26-6742,Harbor Point Safe Routes Partnership,ORG-0165,urban_mobility,spring_2026,building_cooling,North Ridge,52500,2026-01-26T16:40:00-08:00,submitted
A26-4138,New Hope Building Efficiency Collaborative,ORG-0110,climate_resilience,spring_2026,building_cooling,North Ridge,49500,2026-01-27T09:00:00-08:00,submitted
A26-5149,Lakewood Cool Roof Cooperative,ORG-0459,climate_resilience,winter_2025,green_infrastructure,Meadow Loop,55000,2026-03-05T09:30:00-08:00,submitted
A26-4453,Meadow Park Heat Resilience Hubs,ORG-0181,climate_resilience,spring_2026,green_infrastructure,Harbor Point,17500,2026-02-09T15:20:00-08:00,submitted
A26-1258,Kingston Heat Resilience Hubs,ORG-0244,climate_resilience,fall_2025,building_cooling,Central Commons,64500,2026-03-02T14:50:00-08:00,submitted
A26-5170,Grand Avenue Cooling Commons,ORG-0473,climate_resilience,spring_2026,urban_heat,Harbor Point,53500,2026-01-17T15:00:00-08:00,submitted
A26-1001,Hillcrest Energy Savings Workshop Series,ORG-0144,climate_resilience,spring_2026,flood_resilience,West Terrace,10500,2026-03-07T09:30:00-08:00,submitted
A26-9726,Lakeside Neighborhood Shade Plan,ORG-0015,climate_resilience,spring_2026,home_weatherization,Central Commons,29500,2026-03-10T09:20:00-08:00,submitted
A26-6254,Northgate Native Plant Corridor,ORG-0248,climate_resilience,spring_2026,urban_heat,North Ridge,50000,2026-02-03T08:10:00-08:00,submitted
A26-5169,Eastwood Tree Stewardship Circle,ORG-0104,climate_resilience,spring_2026,urban_heat,Oak Junction,45500,2026-01-11T13:20:00-08:00,submitted
A26-3179,Franklin Home Energy Coaching,ORG-0277,climate_resilience,fall_2025,building_cooling,South Harbor,31500,2026-02-16T14:30:00-08:00,duplicate
A26-5179,Yorktown Cooling Commons,ORG-0481,climate_resilience,spring_2026,urban_heat,Lake District,43000,2026-01-24T13:30:00-08:00,submitted
A26-5182,Pinehurst Cool Roof Cooperative,ORG-0483,climate_resilience,spring_2026,urban_heat,River Ward,47000,2026-01-24T13:30:00-08:00,submitted
A26-5239,Belmont Wellness Navigation Team,ORG-0124,community_health,spring_2026,flood_resilience,Central Commons,26500,2026-01-28T09:00:00-08:00,withdrawn
A26-3425,Yorktown Business Skills Workshop,ORG-0093,small_business,spring_2026,flood_resilience,East Market,36000,2026-01-25T08:30:00-08:00,submitted
A26-6165,Belmont Compost Education Network,ORG-0257,climate_resilience,spring_2026,home_weatherization,South Harbor,65000,2026-02-11T16:40:00-08:00,submitted
A26-5113,Willow Creek Urban Forestry Fellows,ORG-0431,climate_resilience,spring_2026,green_infrastructure,Central Commons,50500,2026-01-31T13:50:00-08:00,submitted
A26-3657,University Heights Stormwater Action Group,ORG-0209,climate_resilience,spring_2026,flood_resilience,East Market,60000,2026-01-28T14:20:00-08:00,submitted
A26-5011,Kingsley Community Cooling Hub,ORG-0347,neighborhood_arts,spring_2026,urban_heat,East Market,44000,2026-01-18T09:50:00-08:00,submitted
A26-8545,Lakeside After-School Learning Lab,ORG-0068,youth_learning,spring_2026,home_weatherization,River Ward,50000,2026-01-22T16:00:00-08:00,submitted
A26-3079,Clearwater Tree Stewardship Network,ORG-0221,climate_resilience,spring_2026,flood_resilience,Hill Corridor,48500,2026-03-09T14:10:00-08:00,submitted
A26-5043,Pinehurst Resilience Resource Center,ORG-0223,climate_resilience,spring_2026,building_cooling,West Terrace,50000,2026-01-29T15:10:00-08:00,submitted
A26-5274,Ashland Neighborhood Shade Plan,ORG-0257,climate_resilience,spring_2026,green_infrastructure,Oak Junction,34500,2026-02-09T11:30:00-08:00,submitted
A26-1270,Millbrook Food Recovery Team,ORG-0033,food_security,spring_2026,home_weatherization,Oak Junction,15500,2026-01-19T16:50:00-08:00,submitted
A26-8002,Maplewood Building Efficiency Collaborative,ORG-0230,climate_resilience,fall_2025,green_infrastructure,South Harbor,28500,2026-01-29T13:20:00-08:00,submitted
A26-5070,Civic Center Resilient Homes Network,ORG-0394,climate_resilience,spring_2026,urban_heat,North Ridge,41000,2026-02-20T10:30:00-08:00,submitted
A26-2800,Quarry District Cool Roof Partnership,ORG-0240,climate_resilience,spring_2026,urban_heat,Lake District,61000,2026-02-01T15:00:00-08:00,withdrawn
A26-9305,Yorktown Entrepreneur Coaching Circle,ORG-0067,small_business,winter_2025,green_infrastructure,Harbor Point,31500,2026-03-07T16:50:00-08:00,submitted
A26-1970,Spring Hill Canopy Renewal Project,ORG-0186,climate_resilience,spring_2026,flood_resilience,West Terrace,12500,2026-01-25T16:20:00-08:00,submitted
A26-2159,Meadow Park Cool Roof Partnership,ORG-0175,climate_resilience,fall_2025,green_infrastructure,Lake District,63000,2026-03-08T12:00:00-08:00,submitted
A26-0622,Ashland Flood Preparedness Team,ORG-0011,climate_resilience,fall_2025,flood_resilience,North Ridge,51000,2026-01-28T13:10:00-08:00,submitted
A26-5032,Maplewood Heat Relief Collaborative,ORG-0088,climate_resilience,spring_2026,flood_resilience,River Ward,56000,2026-02-18T16:30:00-08:00,submitted
A26-6126,Juniper Square Main Street Market Lab,ORG-0138,small_business,spring_2026,green_infrastructure,Hill Corridor,60000,2026-03-04T14:10:00-08:00,submitted
A26-5160,Eastwood Drainage Action Group,ORG-0005,climate_resilience,summer_2026,flood_resilience,River Ward,22000,2026-01-25T14:50:00-08:00,submitted
A26-5373,Juniper Square Food Recovery Team,ORG-0014,food_security,spring_2026,green_infrastructure,Central Commons,24500,2026-03-03T10:30:00-08:00,duplicate
A26-5051,Stonebridge Tree Stewardship Circle,ORG-0379,climate_resilience,summer_2026,building_cooling,South Harbor,28500,2026-03-06T18:44:00-08:00,submitted
A26-8259,Greenfield Building Efficiency Collaborative,ORG-0153,climate_resilience,fall_2025,urban_heat,Meadow Loop,23500,2026-03-05T12:10:00-08:00,submitted
A26-1817,Eastwood Resilience Resource Center,ORG-0191,climate_resilience,spring_2026,building_cooling,Cedar Basin,39500,2026-03-15T13:20:00-08:00,submitted
A26-4857,Laurel Heights Cool Roof Partnership,ORG-0172,climate_resilience,fall_2025,home_weatherization,Cedar Basin,61500,2026-03-06T14:10:00-08:00,submitted
A26-9587,Redwood STEM Mentoring Network,ORG-0165,youth_learning,spring_2026,urban_heat,River Ward,24000,2026-02-16T16:20:00-08:00,submitted
A26-6289,South Market Canopy Renewal Project,ORG-0101,climate_resilience,fall_2025,green_infrastructure,Harbor Point,14500,2026-03-17T08:00:00-08:00,submitted
A26-5003,Eastwood Creek Buffer Project,ORG-0257,climate_resilience,winter_2025,building_cooling,River Ward,34000,2026-02-26T12:00:00-08:00,submitted
A26-4430,Grandview Home Energy Coaching,ORG-0145,climate_resilience,spring_2026,flood_resilience,Oak Junction,18000,2026-02-04T09:50:00-08:00,submitted
A26-5129,Lakeside Creek Buffer Project,ORG-0445,climate_resilience,spring_2026,green_infrastructure,South Harbor,26000,2026-02-16T09:50:00-08:00,submitted
A26-5116,Yorktown Flood Readiness Team,ORG-0434,climate_resilience,summer_2026,building_cooling,Hill Corridor,57000,2026-01-19T14:30:00-08:00,submitted
A26-8544,Quarry District Weatherization Support Team,ORG-0083,climate_resilience,spring_2026,green_infrastructure,West Terrace,51500,2026-01-26T12:30:00-08:00,submitted
A26-7117,Westhaven Mental Health First Aid,ORG-0143,community_health,fall_2025,building_cooling,Central Commons,28000,2026-01-29T08:00:00-08:00,submitted
A26-5065,Ashland Cool Roof Cooperative,ORG-0390,climate_resilience,spring_2026,flood_resilience,Harbor Point,57500,2026-01-15T12:20:00-08:00,submitted
A26-6129,Lincoln Heights Building Efficiency Collaborative,ORG-0217,climate_resilience,spring_2026,green_infrastructure,North Ridge,16500,2026-01-31T13:30:00-08:00,submitted
A26-5076,Stonebridge Heat Relief Collaborative,ORG-0399,climate_resilience,spring_2026,flood_resilience,Hill Corridor,44000,2026-01-31T14:20:00-08:00,submitted
A26-3873,Oak Terrace Emergency Cooling Outreach,ORG-0129,climate_resilience,spring_2026,flood_resilience,North Ridge,15000,2026-01-22T12:40:00-08:00,submitted
A26-3833,Ashland Maternal Health Support,ORG-0062,community_health,spring_2026,home_weatherization,Meadow Loop,60500,2026-01-21T10:50:00-08:00,pending_correction
A26-5033,Glen Park Cool Roof Cooperative,ORG-0362,climate_resilience,spring_2026,home_weatherization,Hill Corridor,21000,2026-01-13T14:00:00-08:00,duplicate
A26-5088,Fairview Porch Cooling Partnership,ORG-0410,climate_resilience,spring_2026,green_infrastructure,Central Commons,37500,2026-02-16T12:10:00-08:00,draft
A26-5067,Harborview Rain Garden Network,ORG-0392,climate_resilience,fall_2025,urban_heat,Oak Junction,54500,2026-01-17T15:30:00-08:00,submitted
A26-2711,South Market Shade Partnership,ORG-0149,climate_resilience,spring_2026,urban_heat,South Harbor,41000,2026-03-02T10:05:00-08:00,submitted
A26-4495,Maplewood Rain Garden Network,ORG-0275,climate_resilience,spring_2026,flood_resilience,Harbor Point,24000,2026-03-13T15:30:00-08:00,submitted
A26-6752,Lincoln Heights Neighborhood Grocery Delivery,ORG-0224,food_security,spring_2026,flood_resilience,Meadow Loop,19500,2026-01-27T10:20:00-08:00,draft
A26-4218,Lakeside Cooling Commons,ORG-0332,climate_resilience,spring_2026,building_cooling,Lake District,46000,2026-02-25T09:15:00-08:00,submitted
A26-7784,Westhaven Neighborhood Shade Plan,ORG-0213,climate_resilience,spring_2026,building_cooling,Lake District,53000,2026-02-18T08:20:00-08:00,submitted
A26-5018,Riverside Creek Buffer Project,ORG-0353,climate_resilience,spring_2026,building_cooling,Harbor Point,62500,2026-01-29T11:40:00-08:00,draft
A26-5172,Stonebridge Cool Roof Cooperative,ORG-0474,climate_resilience,spring_2026,building_cooling,East Market,40000,2026-03-08T19:06:00-08:00,submitted
A26-5142,Fairview Rain Garden Network,ORG-0454,climate_resilience,spring_2026,flood_resilience,West Terrace,26000,2026-02-07T13:50:00-08:00,submitted
A26-5078,Kingsley Green Alley Partnership,ORG-0401,climate_resilience,spring_2026,home_weatherization,East Market,29000,2026-02-16T13:10:00-08:00,submitted
A26-1069,Oak Terrace Cool Roof Partnership,ORG-0279,climate_resilience,winter_2025,home_weatherization,Oak Junction,39000,2026-01-22T10:10:00-08:00,submitted
A26-5112,Highland Cooling Commons,ORG-0430,climate_resilience,spring_2026,green_infrastructure,Lake District,35000,2026-01-11T09:40:00-08:00,submitted
A26-5135,Lincoln Heights Stormwater Block Initiative,ORG-0451,youth_learning,spring_2026,green_infrastructure,Oak Junction,31000,2026-02-19T12:40:00-08:00,draft
A26-5669,Fox Hollow Business Skills Workshop,ORG-0250,small_business,spring_2026,building_cooling,Central Commons,54000,2026-02-20T13:30:00-08:00,submitted
A26-3512,University Heights Emergency Cooling Outreach,ORG-0071,climate_resilience,spring_2026,flood_resilience,West Terrace,62000,2026-03-18T16:40:00-08:00,withdrawn
A26-4787,Old Town Community Solar Library,ORG-0269,climate_resilience,spring_2026,flood_resilience,Lake District,55500,2026-01-24T16:40:00-08:00,submitted
A26-9872,Prairie View Artist Mentor Network,ORG-0204,neighborhood_arts,spring_2026,green_infrastructure,River Ward,35500,2026-02-11T10:50:00-08:00,submitted
A26-8199,Garden District Tree Stewardship Network,ORG-0136,climate_resilience,spring_2026,flood_resilience,Hill Corridor,53000,2026-01-29T14:20:00-08:00,submitted
A26-6575,Lakeside Stormwater Action Group,ORG-0025,climate_resilience,spring_2026,urban_heat,Central Commons,46000,2026-01-31T12:20:00-08:00,draft
A26-5066,Grand Avenue Creek Buffer Project,ORG-0391,climate_resilience,spring_2026,flood_resilience,Harbor Point,42000,2026-02-24T11:50:00-08:00,pending_correction
A26-9555,Eastwood Rain Garden Network,ORG-0203,climate_resilience,spring_2026,home_weatherization,Central Commons,38500,2026-03-03T11:50:00-08:00,submitted
A26-7380,College Park Building Efficiency Collaborative,ORG-0048,climate_resilience,spring_2026,flood_resilience,North Ridge,36000,2026-01-17T12:40:00-08:00,withdrawn
A26-5109,Pinehurst Community Cooling Hub,ORG-0427,urban_mobility,spring_2026,green_infrastructure,Lake District,30000,2026-02-13T09:40:00-08:00,submitted
A26-2449,Ashland Building Efficiency Collaborative,ORG-0040,climate_resilience,spring_2026,flood_resilience,Central Commons,13500,2026-02-01T11:10:00-08:00,submitted
A26-1347,Prairie View Energy Savings Workshop Series,ORG-0057,climate_resilience,spring_2026,urban_heat,North Ridge,29000,2026-02-27T12:50:00-08:00,submitted
A26-5175,Lincoln Heights Resilience Resource Center,ORG-0477,climate_resilience,spring_2026,home_weatherization,North Ridge,42500,2026-03-01T14:20:00-08:00,submitted
A26-9525,Brookfield Heat Relief Partnership,ORG-0070,climate_resilience,spring_2026,green_infrastructure,East Market,61000,2026-01-25T12:10:00-08:00,submitted
A26-8689,Valley View Neighborhood Shade Plan,ORG-0141,climate_resilience,winter_2025,green_infrastructure,West Terrace,14500,2026-01-30T10:20:00-08:00,duplicate
A26-2709,Bayview Resilience Resource Center,ORG-0052,climate_resilience,spring_2026,green_infrastructure,Lake District,43500,2026-02-28T11:40:00-08:00,submitted
